order_id,delay_days
6b99ff92735c747557e84a5f5cd7a560,24
923b32346120d8512fe32b6842bad3c1,24
40c6a2db0ce06b7ed796a48b20206c92,24
bb535f122a301b2b48f02befcedfcad5,24
8ad14ad7dd26465b377d99c9e26eb76f,24
3bece71a0ce79d5d8945d9d665e5164e,24
732d14176b86ff078b82fa071d56f74c,24
3bd820484fb08cbd09f9d3f378fae1a4,24
1095806f851129963474b5f20d6520fd,24
07528311766b5aa54d193747c66663df,24
d1e0427b410886678a52f73caa44e264,24
f8f7fb9bc13c0bbfaf2eb09493de90d6,24
094dbecbb0ab054a620f21c04e82df03,24
0de53a4efa2bd4fabcf88a53d812bfd6,24
9d578363f05f0a4f13c35ca532f88192,24
